PID,Social Media Post,Normalized Claim
1073,"when the mosquitoes come out everyone,wear bug spray outside.i might be wrong,but i personally think that if a mosquito sucks the blood of a person with and then bites you,the virus could spread to you.i am not smart,but just do it to be safe",covid 19 can be transmitted by mosquitoes
1074,every since fy 2010 included a provision to prohibit the use of funds to transfer detainees from guantanamo bay to the united states.,"""terrorists who are currently being held at guantanamo bay can be transferred to a neighborhood near you"" as a result of house democrats actions on the national defense authorization act."
1075,there is a plan here and it does not involve our health and well being... everybody see it?,dr. fauci said that vaccines are spreading disease
1076,ye to julum hai ramiz raza after big blow by zimbabwe.,ramiz raja scolds team pakistan after defeat against zimbabwe in t20 wc
1077,venezuelans are just throwing money on the streets now,venezuelans are just throwing money on the streets now
1079,we are grateful to full fact for bringing to our attention that the way the tweet was written could be misinterpreted and will be updating it,"there are 11 million people in the uk who are deaf or hard of hearing. after a cancer diagnosis, they are not able to receive the extra help they need."
1080,"""if you elect joe biden, i will go to prison."" donald trump, today",president trump claimed he would go to jail if joe biden won the 2020 election.
1081,monkeypox detected in all countries where there are no monkeys,monkeypox has been detected in all countries where there are no monkeys.
1082,"can verify this lie too, i once sow on pepsi one now this. problem is, same guy, same police, same place but different reasons",cadbury chocolate infected with blood from hiv positive man
1083,"the pcr test is fraudulent... the cdc has now admitted it is not fit for purpose and is being removed from use dec 2021. how many people have now been misdiagnosed as cv19 and mistreated in a carehome hospital, with the misdiagnosis actually causing or accelerating their death? how many businesses and lives destroyed?","the cdc is removing its request for emergency use authorisation of pcr tests. this is evidence that pcr tests do not work, are fraudulent and cannot distinguish between influenza and covid 19."
1084,ted cruz proposes armed cops in elementary schools to deter school shootings,we know from past experiences that the most effective tool for keeping kids safe is armed law enforcement on the campus.
1085,"amir khan, who hired a hindu servant to humiliate hindus, his daughter ira khan eloped with his hindu servant .. !!","amir khan, who hired a hindu servant to humiliate hindus, his daughter ira khan eloped with his hindu servant"
1086,11 year old pakistani girl tara baloch from balouchistan passes iq level test getting 162 marks of mensa related to oxford university broke the record of albert einstein 160 hawking.. appreciation,11 year old pakistani girl tara baloch from balouchistan passes iq level test getting 162 marks of mensa related to oxford university broke the record of albert einstein 160 hawking.. appreciation
1087,"nurses in the uk take a pledge, the nightingale pledge","nurses in the uk take the nightingale pledge, which they might break by taking strike action."
1088,pennsylvania voters reelect dead democrat state representative.,the claim post implies deceased candidate s victory in pennsylvania election is evidence of voter fraud
1090,health cs mutahi kagwe bans lyft a nicotine pouch marketed by british american tobacco bat kenya as an alternative to cigarettes for addicted smokers in kenya.,"cs kagwe bans bat""s lyft nicotine pouches"
1091,safe and effective.....,the claim pfizer's chantix was recalled for causing cancer
1093,massive! massive! massive sea of crowd guess the speaker?,massive! massive! massive sea of crowd. guess the speaker?
1094,"this is what is being handed out at black life matters, and antifa rally's???? how much longer are we going to take this?????""",kill a white on sight appears on black lives matter antifa flyers.
1096,ivermectin is not approved by the food and drug administration for the treatment of any viral infection.,the national institute of health added ivermectin to the list of covid treatments.
1097,"despite a boom in global trade, pm modi's mismanagement of the economy led to a decline in indian exports.",the annual average export growth rate is higher during the upa ii compared to the current nda government
1098,"""omg. in just 4 weeks, it helped me get in shape! only the first day's results impressed me greatly. my body no longer contains any harmful waste, and i feel physically better than ever.",clip on earrings reduce weight in four weeks
1100,"gas is more expensive because you and senator warnock cancelled the keystone xl pipeline and stopped domestic drilling, sending american jobs and energy overseas.","democrats, including president joe biden, stopped domestic drilling for oil, driving gasoline prices higher."
1101,congratulations to mr. raghuram rajan on being appointed as the governor of the bank of england,raghuram rajan is appointed as the governor of bank of england
1102,fracture is changing from left to right..its medical miracle.,fracture is changing from left to right..its medical miracle
1103,"a report has revealed hmrc employ just 522 staff to tackle tens of billions of tax evasion by the super rich but the dwp employ 4,045 to tackle benefit fraud. if you ever needed confirmation of this lousy governments priorities, this is it.",hmrc employs just 522 staff to tackle tens of billions of tax evasion by the super rich.
1104,the intention of this offer is to increase the immunity of vaccinated individuals against severe covid 19 in advance of a potential future wave of covid 19,the uk has banned the covid 19 vaccine for children under 12.
1105,"the best way to avoid covid altogether is to exercise, eat healthy and let your immune system beat it naturally. the lazy way is to do none of the above and just let strangers stick an emergency cocktail in your arm countless times because some short guy on your tv told you to.","a social media post doing rounds claims that a healthy diet and exercises are enough to beat covid 19, vaccinations are not required. we fact checked and found that claim is mostly false."
1106,"makes sense! reminder the supreme court says jewish symbols are permitted on government property, but not christian ones",scotus says jewish symbols allowed on govt. property but not christian ones
1111,"why is not anyone talking about the elephant in the room? oh, right... because they are not allowed to on mainstream social media platforms.",covid 19 infections have increased after the vaccines
1112,"translated gorakhpur naukavihar, ramgarhwa tal, girl caught by a crocodile while taking selfie",
1114,". called climate change ""bullshit"" during a record heatwave. he is also raked in over 700k in fossil fuel cash and played an active role in trump's 2020 coup attempt. he is as dirty as it gets.",says republican you.s. sen. ron johnson called climate change bull during a record heatwave and raked in over 700k in fossil fuel cash.
1115,from this evening i must give the british people a very simple instruction you must stay at home,"the lockdown began on 16 march 2020, when matt hancock told the house of commons that all unnecessary social contact should cease."
1116,neither booth capturing nor any attack happened in sitalkuchi. but amit shah's police opened fire to scare the minority community. they want to polarise bengal to win the election but they will not succeed. people of bengal are intelligent west bengal minister firhad hakim 11.04,image of cisf soldier injured in an attack by tmc workers
1117,"we saw stuff happening at the georgia capitol and said we should not be around here, we should not be a spark'",georgia and kansas capitol buildings have been stormed by protesters.
1118,diy salt and urine pregnancy test home pregnancy test,pregnancy can be determined at home using urine and salt
1119,"changes in non covid 19 mortality by vaccination status are largely driven by the changing composition of the vaccination status groups this is because of the prioritisation of people who are clinically extremely vulnerable or have underlying health conditions, and differences in timing of vaccination among eligible people",vaccines have led to a significant rise in mortality and journalists are writing cover up stories to explain away deaths.
1120,"this is new india now he does not hide his face, talks with eye contact","this is new india now he does not hide his face, talks with eye contact"
1122,"allahu akbar, morgan freeman at the opening ceremony for the fifa world cup in qatar. famous hollywood actor morgan freeman accepts islam.",morgan freeman accepted islam at fifa world cup opening ceremony
1123,"we went from 75,000 flu deaths last year in america to almost 0. does anyone actually believe that? or do you think there may be allocation games being played to manipulate the truth?","flu deaths, down sharply from last flu season, may be being misreported."
1124,the paper referred to is preclinical research conducted to show the effectiveness of the vaccine in preclinical studies before moving to human trials. the mrc 5 cell line is not used to produce the oxford astrazeneca vaccine,aborted male foetal cells called mrc 5 are in the covid 19 vaccine.
1125,"the proper way of wearing face masks if we have flu, the white side should be our face the colour side faces out to filter the microorganism for spreading to others. if we are not ill, the white side should face out to protect microorganism from outside to have contact with us",you should wear the colored side of the mask on the outside when you are sick and the white side on the outside when you are healthy.
1126,they went for the complete steal! stay tuned on minnesota was stolen from scott jensen.,minnesota was stolen from scott jensen.
1128,genius trump nominates joe biden to supreme court forcing dems to accuse him of sexual assault,the claim trump nominates biden to the supreme court
1129,at least 50 percent of people who survive covid 19 experience a variety of physical and psychological health issues for six months or more after their initial recovery,at least 50 of people who survive covid 19 have debilitating health issues in the months afterwards.
1131,there may be very good reason,"there are 1,012 rapists and 343 killers on the run."
1132,4 bus load of evening walkers picked up from all over guwahati and dropped near the airport to enjoy the walk back home,4 bus load of evening walkers picked up from all over guwahati and dropped near the airport to enjoy the walk back home
1134,"hey leeds mates. for those interested, adidas originals is donating over 1400 shoes which cannot be sold due to a few scratches and minor damage. all shoes are comfortable and in order, so they will send them randomly to those who request. deadline for applications is on the 28th of february and distribution commences after you register",adidas is giving away free shoes in exchange for registering on a website
1135,"mera bharat mahaan mera bhagyanagaram mahaan saudi arabia prince expelled pakistan pm imran khan, more over given 13 acres land to construct hindu temple either swamy narayan iskcon lord venkateshwara.",pakistan pm imran khan was expelled from the conference of islamic countries for condemning the construction of ram temple in ayodhya
1136,"mitch mcconnell said he wanted states to go bankrupt instead of the federal government providing relief. today, thom tillis agreed. communities around north carolina are hurting, and we deserve a senator who will fight for the resources they need.","""mitch mcconnell said he wanted states to go bankrupt instead of the federal government providing relief. today, thom tillis agreed."""
1137,"simple math trump got 74 million votes and there are only 133 million registered voters in the usa,",the claim there are just 133 million registered voters in the us
1138,"this is why bill gates ""predicted"" a monkeypox outbreak....he knew exactly what was going to happen",multiple social media posts have claimed that the chimpanzee adenovirus vector in the astrazeneca covid vaccine has caused monkeypox. we fact checked and found the claim to be false.
1139,"the nz judiciary have not been infiltrated by marxists or her own appointed nominees obviously. let us hope someone has the courage in victoria queensland and western australia to take this mandatory mandate to court .the special emergency powers legislated in all states need to be tested in law. lihat terjemahan mungkin gambar 1 orang dan teks yang menyatakan 'new zealand high court ends jacinda ardern's vaccine mandate ""it is ""it is a gross violation of human rights"" this landmark case will be used to overthrow all of ardern's illegal mandates in new zealand.'",the new zealand high court ruled a vaccine mandate was a gross violation of human rights.
1141,"if you are in the states of ohio or pennsylvania, please do not go outside while it is raining! we are getting reports of third degree burns from what is suspected to be from acid rain. stay indoors!","if you are in the states of ohio or pennsylvania, please do not go outside while it is raining! we are getting reports of third degree burns from what is suspected to be from acid rain. stay indoors! ohio pennsylvania ohiotraindisaster eastpalestineoh trainderailment"
1142,and it has started!,"visuals of cyclone tauktae from somnath, gujarat"
1143,press conference! at least 15 nigerian men die daily from prostate cancer. 1 out of every 4 black men is likely to develop prostate cancer in their lifetime. just being african increases our men's chances of developing cancer by 70 .,at least 15 nigerian men die daily from prostate cancer
1144,"right now, i have the strongest record of growing manufacturing jobs in modern history. and by making real investments in american workers and industry, the inflation reduction act will keep that momentum going.","right now, i have the strongest record of growing manufacturing jobs in modern history."
1145,"congratulations delhi, arrangement of ten new dustbins in kirtinagar industrial area","congratulations delhi, arrangement of ten new dustbins in kirtinagar industrial area"
1146,"in a period of such consistently high excess death and incredible strain on the system, attributing direct responsibility is impossible",official data shows that strikes are one of the reasons why excess deaths rose in england in march 2023.
1147,obama donated none of his salary michelle had a staff of 23 trump donates all his salary melania has a staff of 4.,"claim obama donated none of his salary, trump donates all his salary michelle had staff of 23, melania has staff of 4"
1148,"the white house removed its climate change web page. and the healthcare, civil rights and lgbt sections. just thought you should know.","""the white house removed its climate change web page. and the healthcare, civil rights and lgbt sections."""
1149,"ang hangganan ng medisina ayon sa batas part 3 on the ground guests dr. fidel fernandez pathologist infectious disease expert dr. jose oclarit molecular biologist atty. aaron soguilon capt. rey valeros, jr. mm international shipping auditor and philippine navy reserve officer follow subscribe to","rt pcr tests use a universal primer that detects all coronaviruses, including the one that causes the ordinary flu"
1150,who did this,who did this
1151,brazil is responsible for 25 of the world's food production,brazil produces 25 of the planet s food.
1153,it is just a money grab. a transfer of wealth if you will,the claim post implies comparing daily temperatures to 1979 2000 average disproves global warming
1154,labour in power support our armed services. tories in power cut their strength.,"the conservatives cut the army from 98,000 personnel in 2010 to 72,500 in 2021 a reduction of over 25,000."
1156,duque to be replaced by doc willie angry duque duterte doh raffy tulfo,health secretary francisco duque iii is being replaced by dr. willie ong.
1157,"usps contractor ""something profoundly wrong occurred in wisconsin during the presidential election""",the usps backdated 100k ballots so they could be counted illegally.
1158,"how many vaccines have been exported from the following ? 0 0 41.6 million the largest recipient, by far, of which being 10 million but guess who gets accused of ""outrageous vaccine nationalism"" and ""behaving like a dictatorship"" about vaccines raab ?","the eu has exported 41.6 million vaccines so far, 10 million of which were to the uk."
1160,this is the most belfast sign you will ever see in your life,a belfast bank posted a notice describing balaclavas as 'unsuitable' face coverings
1161,"lemon citrus is a miraculous product to kill cancer cells. it is 10,000 times stronger than chemotherapy",lemons are 10000 times stronger than chemotherapy
1162,"kung may kati2x di mo na kailangan pang kamutin para mawala di mo na kailangan pang epa check para mawala di mo na kailangan pang ma stress,dahil ang ang tanging paraan lang ay pahiran ng zudaifu cream para mawala, bilis tanggal agad ang kati",willie ong is endorsing zudaifu cream
1164,"world steam week, according to doctors, if covid 19 is hit by steam from the nose, the corona can be eradicated. everyone should start a steam campaign. to work in the above direction, we urge people from all over the world to start the steam process for a week from 07 august to 14 august, namely morning, afternoon and evening. just 5 minutes to inhale steam. by adopting this practice for a week we are sure that the deadly covid 19 will be erased, please send this message to all our groups, relatives, friends and neighbors so that we can all kill this coronavirus together and this beautiful hv can run freely in the world. thank you, request to be sent to each group",coronavirus can be killed from inhaling steam
1165,"freudian slip by greta thunberg? if anyone has kept up with her recently, she speaks out in a different way than she used to about climate change. pc .0",greta thunberg said the climate crisis is not real
1166,want a dazzling smile? whiten your teeth with baking soda!,lemon and baking soda act as an effective teeth whitener
1168,"i do not know who need sic to hear this but is actually , see in the sky are not water vapor, they are aka you can look up the countless patents protocols for yourself. wake up.",the claim climate change is actually geoengineering weather modified by chemtrails
1169,"congratulations on the selection of both ias, which brightened the name of bahujan samaj",a couple has passed the ias examination together
1170,this is why we wait years for approval,"the length of time it took to discover thalidomide s dangers proves more time should be spent researching medicines, particularly covid 19 vaccines."
1171,notification. royal period of mourning. no sheaths will be dispensed from this condom vending machine until wednesday september 21st. we apologise for any inconvenience and appreciate your understanding during this time. thank you,a wetherspoons pub has stopped selling condoms from a vending machine as part of a royal period of mourning .
1172,greatest president ever!,"""media minimized the risk, trump took decisive action, bipartisan governors recognize the president s support"""
1173,"sen. ron johnson r wi falsely tells charlie kirk that there have been 22,000 deaths associated with coronavirus vaccines and that ""all these athletes are dropping dead on the field."" ???","of course, we have heard story after story. i mean, all these athletes dropping dead on the field, but we are supposed to ignore that."
1174,coronavirus before it reaches the lungs it remains in the throat for four days and at this time the person begins to cough and have throat pains. if he drinks water a lot and gargling with warm water salt or vinegar eliminates the virus. spread this information because you can save someone with this information,coronavirus remains in throat for 4 days
1175,nih's own website states that covid 19 was a planned and orchestrated scam demic,the us national institutes of health s own website states that covid 19 was a planned and orchestrated scam demic.
1176,incredible.... halal on cooking butter....,incredible.... halal on cooking butter....
1177,if you really believe a little plane made this engineering marvel collapse twice you need to do some research. sic,planes did not because the twin towers to collapse in the 9 11 attacks.
1178,"scotland has a hugely positive story to tell in renewables, which provided the equivalent of 96 of scotland",just short of 100 of all the electricity scotland uses is from renewable sources.
1179,this is how the people of uttar pradesh welcomed the official candidates of bjp who came to seek votes,the people of uttar pradesh welcomed the official candidates of bjp who came to ask for votes is like this
1180,"i am a muslim, my religion does not allow any other man to hold my hand!",muslim boxer does not allow referee to hold her hand.
1181,"while joshimath in uttarakhand is in peril, a strange cloud appears in the sky revealing a pranam. as if people appeal to the supreme lord of the devbhoomi to save them from devastation",pair of praying hands seen in uttarakhand skies
1183,"monthly age standardised mortality rates asmrs for deaths involving coronavirus covid 19 have been consistently lower for all months since booster introduction in september 2021 for people who had received a third dose or booster at least 21 days ago, compared with unvaccinated people and those with just a first or second dose","they are using the same vaccine for strep a, covid 19 and scarlet fever."
1184,"hey brother, why is he cleaning his ears, the worm is somewhere else.",picture of rahul gandhi getting his ear cleaned
1185,"the you.k., portugal, and belgium must have all been visited by the same sailor",the claim articles reported that the same boy died of covid 19 in three different countries
1186,"there is a supreme court order for those who take care of stray dogs. in the cases of stray dogs roaming on the road and biting people, the supreme court said, only those who feed stray dogs should get them vaccinated, and also bear the cost of treatment if someone bites them.",supreme court made an order on animal feeders liable for stray dog bites
1187,it is on tv,the claim the covid 19 vaccine is not being advertised on tv because all of its side effects would be legally required to appear in the ad
1188,"tonight at 12 30 to 03 30 make su.re to turn off the phone, cellular, tablet, and put away from your body .singapore television announced the news. please tell your family and friends. tonight at 12 30 to 03 30, our planet will be exposed to very high radiation from cosmic rays passing close to earth. so please turn off your cellphones. do not leave your device close to your body, it can cause you terrible damage. check google and nasa bbc news. send this message to all the people who matter to you","tonight at 12 30 to 03 30, our planet will be exposed to very high radiation from cosmic rays passing close to earth. so please turn off your cellphones"
1189,"god should not give such a son to the enemy, who neither takes off his shoes nor takes off his coat nor takes off his cap at the funeral of his father but performs the last rites of the father only by becoming a big leader by putting a thread on the jacket. he is the hopeless son, god should not give such a son to the enemy. friends, what is the use of earning thousands of crores of wealth by becoming mla, mp, minister, or chief minister? when the real son also does not perform the last rites properly.",akhilesh yadav wore shoes during his father's funeral
1190,"meet mary vermont, an american officer, it was she who was responsible for barbequing qasim soleimani, one year ago on this day","meet mary vermont, an american officer, it was she who was responsible for barbequing qasim soleimani, one year ago on this day."
1192,in pakistan they are demolishing masjid and selling it is iron and bricks for their food. this is the 3rd masjid demolished in recent past. they say if allah cannot give us food what is the need of masjids,in pakistan they are demolishing masjid and selling it is iron and bricks for their food. this is the 3rd masjid demolished in recent past. they say if allah cannot give us food what is the need of masjids
1194,i fired my helpers because they are for bbm sara. all homeowners in condos and villages should also fire their helpers and drivers who support bbm .,a supporter of vice president leni robredo tweeted to say that they fired their helpers and drivers who are supporting rival candidate bongbong marcos
1195,"journalism is missing the ""mood"" in this great country of ours the united kingdom. we do not want or need blame. we do not want constant criticism of our government who are doing their very best in a very difficult and unprecedented global emergency",accounts on twitter resharing a post about journalism failing to capture the mood of the country is a coordinated bot effort.
1196,"earlier in other states it was a practice to make bjp members taste fenugreek, now it continues in gujarat as well","earlier in other states it was a practice to make bjp members taste fenugreek, now it continues in gujarat as well"
1197,"it is clear the fbi needs to be held accountable. congress must begin considering meaningful reforms. for too long, the biden family has peddled access to the highest levels of government and the fbi has been slow to act. americans deserve better.","hunter biden s committed serious crimes, as you mentioned, 150 suspicious activity reports. those are the most severe bank violations. this is when the bank notifies the federal government that we are pretty confident our client has committed a crime."""
1198,"from my lockdown room in things look grim, but here is some positive advancements china has closed down its last coronavirus hospital. not enough new cases to support them. doctors in india have been successful in treating coronavirus using...combination of drugs used lopinavir, retonovir, oseltamivir along with chlorphenamine. they are going to suggest same medicine, globally. researchers of the erasmus medical center claim to have found an antibody against a 103 year old chinese grandmother has made a full recovery from after being treated for 6 days in wuhan, china. apple reopens all 42 china stores, cleveland clinic developed a test that gives results in hours, not days. good news from south korea, where the number of new cases is declining italy is hit hard, experts say, only because they have the oldest population europ scientists in israel likely to announce the development of a vaccine. 3 maryland coronavirus patients fully recovered able to return to everyday life. a network of canadian scientists are making excellent progress in covid 19 research.a san diego biotech company is developing a vaccine in collaboration with duke university and national university of singapore. tulsa county's first positive covid 19 case has recovered. this individual has had two negative tests, which is the indicator of recovery. all 7 patients who were getting treated for at safdarjung hospital in new delhi are recovered plasma from newly recovered patients from covid 19 can treat others infected by it is not all bad news. let us care for each other and stay focused on safety of the most vulnerable",all seven patients who were getting treated for covid 19 at safdarjung hospital in new delhi have recovered.
1199,congratulations join bjp join bjp,sachin pilot has joined bjp
1200,"eight twitter accounts, over 6 days, with an average follower count of 28. why did they all tweet exactly the same thing?",accounts on twitter resharing a post about journalism failing to capture the mood of the country is a coordinated bot effort.
1201,"with this ban, millions of people will become felons overnight, and they will not go quietly",millions of people will become felons overnight because of the assault weapons ban of 2022.
1202,"most of these deaths would normally have occurred in hospital, and people have either been reluctant to go, discouraged from attending or the services have been disrupted. it is unclear how many of these lives could have been extended had they gone to hospital","the number of deaths from diabetes is up 86 , from prostate cancer is up 53 , from parkinson s is up 79 , from breast cancer is up 47 and from bowel cancer is up 46 ."
1203,40 students admitted after vaccination in kanpur,a viral post with a newspaper clipping of headline reading about 40 students admitted after vaccination in kanpur is shared with a claim that it is the situation soon after injected with covid 19 vaccine in india.
1204,"5. what is most found in gmo foods? glyphosate, as the main ingredient in genetically modified food, actually encourages the body to accept and absorb aluminum. and then glyphosate and aluminum work together to double down on brain and gut health. both glyphosate and aluminum",soy causes alzheimer s disease
1206,jio is giving everyone a reward up to rs 10000. click to receive the money into account.,"jio is giving a reward of up to rs 10,000"
1207,"damn you what business is close to the queen of england? 2g profits outpace royal family closeness? even though gopalapuram chases away, victoria puram welcomes you! dr. macham","what business is he doing to meet the queen of england? 2g profit has made him connect with the family of the england queen. though gopalapuram throws him out, victoria puram is welcoming him"
1208,dan bishop is just as off the rails as trump,"china has ""had now the worst year in 57 years."""
1209,nih's own website states that covid 19 was a planned and orchestrated scam demic. link in the comments.,the us national institutes of health s own website states that covid 19 was a planned and orchestrated scam demic.
1210,this is racism. and it is completely shameful. especially when it comes from someone running to be the mayor of our diverse and multicultural capital city.,"diane abbott once said the problem in britain is not immigration, the problem in britain is white people."
1211,"23 of you say your child will wear a mask at secondary school because the school have asked, and a further 15 will do so despite it not being mandated",23 of parents of secondary pupils will insist their children wear masks when they return to school.
1212,our position has been consistently pro freedom pro choice hence we start no a vac mandates end mass testing campaign next week we are also for open debate everywhere this is astonishing interview of dr robert malone by neil oliver no more big tech take downs! end vac passports,covid 19 vaccine is unsafe for children
1213,"rep. adam schiff illegally made up a fake terrible statement, pretended it to be mine as the most important part of my call to the ukrainian president, and read it aloud to congress and the american people. it bore no relationship to what i said on the call. arrest for treason?","says house intelligence chairman adam schiff could be eligible for ""arrest for treason."""
1214,"at the moment only 11 of people who are asked to self isolate by the nhs app are actually able to do so, many of them not eligible for a one off payment to help them do that",research shows that only 11 of people self isolate when asked to do so by nhs test and trace.
1215,"this is entirely disturbing, but not at all surprising. can any pilots out there confirm this is true?",pilots started training for sudden death during a flight in 2022
1217,pfi and islamic jihadi organizations called for strike today and congress stopped its padyatra today nothing could be worse and more shameful than this,pfi and islamic jihadi organizations called for strike today and congress stopped its padyatra today nothing can be more disgusting and shameful than this
1218,"friends, if you want to make your teeth even more white, then i want to share with you an easy way that will make your teeth shine like pearls in just 5 minutes. i came to know about it a few years ago and since then i myself have tried it quite a lot of times and believe me friends, every time it works like a magic. the best part is that it is so easy to do that even the most lazy of us will do it very comfortably. it is a 100 natural remedy that does not have any side effects. and the funny thing is that only one ingredient is needed to do it. i think this is the best time to talk about it because that ingredient is easily available this season. and that ingredient is strawberries.",strawberries whiten your teeth without leaving any side effects
1219,"if you are going to visit gir in gujarat, then definitely check before using the accessible toilet or else the toilet will not be used",","
1220,"friends, chacha nehru working for women","friends, chacha nehru working for women"
1221,wow! a 100 year old man joined the million strong london march yesterday. a man who in his most senior years has more brains than most males in their prime. 100 years old!!!!!!!!,a million people attended the anti lockdown march in london on 24 april 2021.
1223,"officials sabotaged election day. on november 8th when 75 of votes were for nearly 1 4 of a million voting attempts failed, according to the system log files that were obtained via foia. this is huge, folks. huge.","nearly 250,000 voting attempts failed in arizona midterm election"
1225,biden calls for banning oil companies from drilling,says joe biden just announced on cnn he will completely shut down drilling for oil and natural gas on day one of his administration.
1226,"almost one million people request tickets for the saturday night rally in tulsa, oklahoma!","donald trump is recruiting excited and enthusiastic minority actors and actresses to appear at his campaign rally in tulsa, okla."
1227,pongal lunch hosted by pm rishi sunak in london. grt idea ...! will try to do for my north indian frnds,pongal lunch hosted by pm rishi sunak in london. grt idea ...! will try to do for my north indian frnds
1228,"""nobody making under 400,000 will have their taxes raised. period,"" says .","biden s tax rate on a family making 75,000 dollars would go from 12 to 25 ."
1229,"like this friends, this has saved 300 lives of passengers","like this friends, this has saved 300 lives of passengers"
1230,to save on you are electricity bill this winter all you need is a small piece of wire. do the right thing this winter and stay warm f the electric companies sic,to save on your electricity bill this winter all you need is a small piece of wire to bypass your electricity meter.
1231,read this cutting of old news paper of 1987 the name of rapist is arvind kejriwal student of itt .,read this cutting of old news paper of 1987 the name of rapist is arvind kejriwal student of itt.
1232,people are dying due to lack of oxygen our health minister is cutting ladyfinger,people are dying due to lack of oxygen our health minister is cutting ladyfinger.
1233,hey is this pic true ? if yes then you can count your remaining days in,hey deepikapadukone is this pic true ? if yes then you can count your remaining days in bollywood boycottpathaan boycott pathan
1235,"yesterday i signed four measures that will massively reduce the prices of prescription drugs, in many cases by more than 50 . nothing like this has ever been done before because big pharma, with its vast power, would not let it happen. expensive insulin went from big dollars.....","under an executive order, expensive insulin went from big dollars to virtual pennies ... especially for our seniors."
1236,thanks to italian doctors who finally disobeyed who is global health law not to perform an autopsy on the dead coronavirus and they discovered that it is not a virus but bacteria that causes death!!! it causes blood clots to form and results in the death of the patient. families world wide should start asking for autopsies on their dead relatives!,"covid 19 is bacterial, not viral, and can be easily treated with aspirin"
1237,"in certain swing states, there were more votes than people who voted, and in big numbers. does that not really matter? stopping poll watchers, voting for unsuspecting people, fake ballots and so much more. such egregious conduct. we will win!","in certain swing states, there were more votes than people who voted, and in big numbers."
1238,"chamcho bernal mangwa lo, ab cheetah bhi camera dekh ke pose dete hai. according to some eminent scholars, this latest picture has come from kunho sanctuary in madhya pradesh. these are the cheetahs which have been brought to india from namibia by modi ji. how these leopards are sitting like the three lions of ashoka, the symbol of india",viral image of three cheetahs is of kuno national park
1239,"this is a guy who added his infected blood to cadbury products. for the next few week do not eat any products from cadbury, as a worker from the company has added his blood contaminated with hiv aids . it was shown yesterday on bbc news. please forward this message to people you care",cadbury products contaminated with hiv positive blood
1240,"from the papua new guinea courier ""great britain, the birthplace of newtonian physics no less that is now likely to be led by a woman so dense thatlight bends around her.""",an article published in a papuan newspaper criticises the state of affairs in the uk.
1241,indian army sniper armed with sako trg 42 .338 lapua magnum sniper rifle along a king cobra somewhere near lac at arunachal pradesh,indian army sniper armed with sako trg 42 .338 lapua magnum sniper rifle along a king cobra somewhere near lac at arunachal pradesh
1242,ktnkenya would like to inform the public that it has no record of the cs treasury ever releasing any statements regarding the future state of the economy and would like to distance itself from it.fake news this is,ktn news flagging a tweet about the national treasury.
1244,what inevitably stops these horrific crimes armed good guys stopping armed bad guys.,what inevitably stops these horrific crimes armed good guys stopping armed bad guys.
1245,the data from the higher institute of health say that 96.3 died of other diseases,96.3 of the italy s covid 19 deaths were actually caused by other diseases.
1246,your amazon account are on hold due to a billing issue. update payment information,email from amazon asking to submit personal information by clicking on a link
1248,"the biden family was paid off, pure and simple! the fake news must stop making excuses for something that is totally inexcusable. sleepy joe said he never spoke to the ukrainian company, and then the picture came out where he was playing golf with the company boss and hunter.....","says joe biden ""said he never spoke to the ukrainian company, and then the picture came out where he was playing golf with the company boss and hunter"" biden."
1249,celebrates with bsf jawans and celebrate the victory of mkg1,recent pictures of kangana ranaut celebrating vijay diwas with bsf jawans
1250,"according to the nhs all underwear, towels and household linen should be washed at 60c or 40c with a bleach based laundry product to prevent microbes spreading",the nhs recommends washing your underwear and towels at 60c or 40c with a bleach based laundry product to prevent the spread of the new coronavirus.
1251,there are no safe routes for anybody to come through. afghanistan has been closed. hong kong has been closed,there are no safe routes for people seeking protection in the uk.
1252,my son brandon smith took off this morning with our dog hank. he is autistic and has been missing for eight hours if anyone sees him please pm me please re post on any sites.i already contacted police sic,an autistic boy named brandon smith is missing with his dog hank.
1253,here in lies the problem. case numbers mean nothing. testing people without symptoms means nothing. time to quit the biggest hoax in human history. thanks paul weston.,a social media post claims the high number of false positive results from covid 19 tests is rendering reported case numbers meaningless and the testing of asymptomatic patients useless.
1254,"half of people think china is collapsing and the other half think china is doing great, however, i do not know anyone who thinks the west is doing great",china is fabricated
1256,we want the poppy sold every were sic in the uk,the royal british legion will not be selling poppies in certain areas to avoid upsetting minorities .
1257,"ongoing, soaring production costs are putting the british poultry sector under immense pressure",studies show egg yolks significantly increase immunity against covid 19.
1259,just what we have been saying for months! the global recession is a planned and coordinated attack to get us to submit to digital ids and digital currency i.e. a chinese style social credit system!,the queen s funeral was a cover up for world leaders to plan a global recession in order to implement digital ids and currency.
1260,"as soon as our government is formed, we will give 5 thousand crore loan to pakistan without interest for 50 years rahul gandhi.","as soon as our government is formed, we will give 5 thousand crore loan to pakistan without interest for 50 years rahul gandhi"
1261,"file an fir, either with the people sitting in the government administration or the fir will be filed only on seeing a muslim name.",vaccine kills more people than covid 19
1262,"muslim labour mp naz shah ""those abused girls in rotherham and elsewhere just need to shut their mouths. for the good of diversity.""",naz shah said those abused girls in rotherham and elsewhere just need to shut their mouths. for the good of diversity.
1264,a lot of eu supporters asking for not visiting flooded areas. do you know the floods are because eu laws prevent the uk from drenching its own rivers?,eu laws prevent the uk from dredging rivers.
